City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
vestmannaeyjar,63.4427,-20.2734,278.98,65,35,3.87,IS,1667784818
college,64.8569,-147.8028,258.47,84,75,0.0,US,1667784818
caloto,3.0359,-76.4079,291.71,96,71,1.07,CO,1667784819
adrar,20.5022,-10.0711,296.87,15,100,3.12,MR,1667784819
lompoc,34.6391,-120.4579,290.25,79,0,3.6,US,1667784819
ushuaia,-54.8,-68.3,281.96,87,0,1.54,AR,1667784820
acapulco,16.8634,-99.8901,301.05,83,0,3.09,MX,1667784820
celestun,20.8667,-90.4,298.84,74,1,6.77,MX,1667784821
aswan,24.0934,32.907,291.76,36,0,2.06,EG,1667784821
bluff,-46.6,168.3333,291.93,64,90,8.74,NZ,1667784821
albany,42.6001,-73.9662,293.55,88,78,3.64,US,1667784606
arraial do cabo,-22.9661,-42.0278,293.72,68,25,2.33,BR,1667784822
udachnyy,66.4167,112.4,245.0,100,97,1.72,RU,1667784822
rikitea,-23.1203,-134.9692,295.41,82,100,6.67,PF,1667784780
naze,28.3667,129.4833,293.66,63,86,3.02,JP,1667784823
barrow,71.2906,-156.7887,267.16,93,100,9.26,US,1667784823
clyde river,70.4692,-68.5914,255.28,60,0,3.09,CA,1667784824
bredasdorp,-34.5322,20.0403,290.9,85,100,1.34,ZA,1667784824
akyab,20.15,92.9,298.26,79,2,2.55,MM,1667784824
jamestown,42.097,-79.2353,286.95,79,75,3.09,US,1667784607
te anau,-45.4167,167.7167,287.28,62,85,3.55,NZ,1667784825
aykhal,66.0,111.5,250.95,100,100,2.71,RU,1667784825
marfino,55.7028,37.3822,273.34,86,100,4.0,RU,1667784826
port blair,11.6667,92.75,301.22,72,64,6.33,IN,1667784797
aksarka,66.5606,67.7975,265.38,93,100,1.73,RU,1667784826
samarai,-10.6167,150.6667,302.17,72,100,3.95,PG,1667784827
atuona,-9.8,-139.0333,298.17,68,67,5.18,PF,1667784827
hermanus,-34.4187,19.2345,290.82,81,100,4.83,ZA,1667784827
jardim,-21.4803,-56.1381,292.26,55,0,2.71,BR,1667784828
antsohihy,-14.8796,47.9875,296.88,81,4,1.56,MG,1667784828
tecolutla,20.4833,-97.0167,300.07,82,1,0.74,MX,1667784828
dudinka,69.4058,86.1778,267.07,96,100,2.92,RU,1667784829
saint george,37.1041,-113.5841,290.48,36,0,0.89,US,1667784722
cape town,-33.9258,18.4232,290.99,87,75,5.14,ZA,1667784676
makinsk,52.6292,70.4169,269.68,96,100,3.72,KZ,1667784830
hobart,-42.8794,147.3294,295.4,63,73,1.88,AU,1667784773
vaini,-21.2,-175.2,300.24,69,20,5.14,TO,1667784830
rapid valley,44.0625,-103.1463,273.96,45,0,5.66,US,1667784830
puerto ayora,-0.7393,-90.3518,292.9,86,77,1.79,EC,1667784831
awjilah,29.1081,21.2869,289.96,54,0,3.96,LY,1667784831
kapaa,22.0752,-159.319,301.14,78,40,6.17,US,1667784831
san miguel,13.4833,-88.1833,295.98,98,100,0.49,SV,1667784832
anadyr,64.75,177.4833,273.43,74,0,4.0,RU,1667784832
